new_or_ren,senior_or_non_senior,Avg_Elec_Dev,surv_,Est_Ann_MMBtu,Est_Ann_Kwh,Yrs_in_Un,Ppl_in_Un,Ann_Income,Under_5,five_to_9,ten_to_19,tweenty_to_29,thirty_to_59,sixty_and_over,W_more_comf,W_same,W_less_comf,S_more_comf,S_same,S_less_comf,U_more_affor,U_same,U_less_affor,H_more_affor,H_same,H_less_affor,more_sat,same,less_sat,Affor_qual,Sat_qual,S_below_68,S_68-72,S_72-75,S_above_75,W_below_68,W_68-72,W_72-75,W_above_75,fall_window,winter_window,spring_window,summer_window,space_heater_comfort,fan_comfort,dry_pref,medium_pref,humid_pref,short_showers,medium_showers,long_showers,yes_dishwasher,no_hand-wash all,combination_wash,yes_wd,hang_dry_most_clothes_wd,not_in_unit_wd,low_wcomf,medium_wc,high_wc,low_sc,medium_sc,high_sc,low_comfort_sw_qual,Edu_on_systems,Edu_qual,never_noise_dist,sometimes_noise_dist,frequently_noise_dist,noise_elaborate_qual,HERS,PoC,CA,CV,NoB,H_type,foundat,HP_fuel,HP_HSPF,HP_SEER,WH_type,WH_fuel,WH_EF,WH_size,D_leak,V_type,V_exhaust,V_supply,V_balanced,V_air_cycler,P_heat,P_cool,C_R,S_attic,S_attic_R,AG_R-value,F_wall,S,S_edge_R,S_under_R,W_U,W_SHGC,IH_ACH,IC_ACH,IH_CFM,IC_CFM,I_method,Int_light,Ext_light,Ref,DW_EF,RO_fuel,D_fuel,D_EF,CF,est_H,est_C,est_HW,est_L/A,est_P,est_total,Avg_Elec_Un_kWh
0,1,508,14,24.4,7151,2.5,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,65,2,876,7008,1,5,1,1,2,3,2,2,2.35,2,81,0,0,0,0,0,1,1,4,0,0,2,0,1,0,1,1,1,0,0,2,2,1,3,2,3,0.76,2,2,2.67,0,7.8,1,4.1,11.5,0,24.4,362
0,1,508,2,26.5,7766,1,1,24000,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,3,9,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,62,2,1152,9216,2,4,1,1,2,3,2,2,2.35,2,30,0,0,0,0,0,1,1,4,0,0,2,0,1,0,1,1,1,0,0,2,2,1,3,2,3,0.76,2,2,2.67,0,6.8,1.3,4.9,13.5,0,26.5,341
1,1,643,2,21.3,6242,17,2,30000,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,59,2,925,7400,2,1,1,1,2,3,2,2,2.33,3,18.5,0,0,0,0,0,1,1,0,0,0,2,0,1,1,1,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,2.7,2.2,3.7,12.6,0,21.3,407
1,1,643,3,21.2,6213,3,2,12000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,59,2,925,7400,2,1,1,1,2,3,2,2,2.33,3,18.5,0,0,0,0,0,1,1,0,0,0,2,0,1,1,1,2,1,2,2,0,0,1,2,1,1,0.78,2,2,3.01,0,2.6,2.2,3.7,12.6,0,21.2,546
1,1,643,4,21.2,6213,19,1,50000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,59,2,925,7400,2,1,1,1,2,3,2,2,2.33,3,18.5,0,0,0,0,0,1,1,0,0,0,2,0,1,1,1,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,2.6,2.2,3.7,12.6,0,21.2,717
1,1,643,5,21.2,6213,1,1,24000,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,8,0,0,1,0,59,2,925,7400,2,1,1,1,2,3,2,2,2.33,3,18.5,0,0,0,0,0,1,1,0,0,0,2,0,1,1,1,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,2.6,2.2,3.7,12.6,0,21.2,432
1,1,643,6,21.2,6213,6,2,1200,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,59,2,925,7400,2,1,1,1,2,3,2,2,2.33,3,18.5,0,0,0,0,0,1,1,0,0,0,2,0,1,1,1,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,2.6,2.2,3.7,12.6,0,21.2,722
1,1,643,7,21.7,6360,3,3,21216,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,61,2,925,7400,2,1,2,2,2,3,2,2,2.33,3,18.5,0,0,0,0,0,1,1,4,0,0,2,0,0,0,0,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,2.5,2.8,3.7,12.6,0,21.7,623
1,1,643,9,23.9,7004,20,1,14000,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,63,2,910,7280,2,2,1,1,2,3,2,2,2.33,3,18.2,0,0,0,0,0,1,1,4,0,0,2,0,1,1,1,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,4.9,2.7,3.7,12.6,0,23.9,577
1,1,643,10,21.2,6213,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,59,2,925,7400,2,1,1,1,2,3,2,2,2.33,3,18.5,0,0,0,0,0,1,1,0,0,0,2,0,1,1,1,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,2.6,2.2,3.7,12.6,0,21.2,380
1,1,643,11,25.8,7561,1.5,4,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,60,2,1087,8696,3,2,2,1,2,3,2,2,2.33,3,21.74,0,0,0,0,0,1,1,4,0,0,2,0,0,0,0,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,3.6,3.4,4.4,14.3,0,25.8,791
