Target,Model,accuracy_min,accuracy_max,accuracy_mean,accuracy_std,f1_weighted_min,f1_weighted_max,f1_weighted_mean,f1_weighted_std,precision_weighted_min,precision_weighted_max,precision_weighted_mean,precision_weighted_std,recall_weighted_min,recall_weighted_max,recall_weighted_mean,recall_weighted_std
EQUIPMUSE,LDA,0.5782073813708261,0.625,0.6046511052253768,0.016556145953902195,0.5474813300564049,0.5964003989437384,0.5756905441581214,0.016143973428141035,0.5630634057094134,0.6289355824619086,0.6027049654270819,0.019887615004055934,0.5782073813708261,0.625,0.6046511052253768,0.016556145953902195
EQUIPMUSE,KNN,0.3345070422535211,0.3866432337434095,0.3698491918116785,0.01658047879543229,0.3148051106215322,0.361733965105825,0.3425102632267371,0.01504519229226299,0.3139499827046267,0.3684667463831205,0.34432189624164233,0.016715163363481438,0.3345070422535211,0.3866432337434095,0.3698491918116785,0.01658047879543229
EQUIPMUSE,CART,0.5862676056338029,0.6397188049209139,0.6106206217975692,0.015058145720246241,0.5874412938248411,0.6384240636916945,0.6114229167008954,0.01480185570895151,0.5967930587113969,0.64232312098895,0.6176959957766928,0.01278712578066362,0.5827464788732394,0.6390845070422535,0.6109724250600262,0.01722484110258793
EQUIPMUSE,SVM,0.37785588752196836,0.38028169014084506,0.379177083591178,0.000869098684049014,0.20724238728883468,0.20954297211842485,0.20849484756071326,0.0008241917853927509,0.14277507173501439,0.14461416385637768,0.1437760160532338,0.0006588375655183603,0.37785588752196836,0.38028169014084506,0.379177083591178,0.000869098684049014
EQUIPMUSE,ADB,0.5114235500878734,0.6091549295774648,0.5495968340800514,0.030370604594966263,0.4145202314499471,0.5722521619417644,0.4770904873338481,0.04733795691007779,0.3836394168201872,0.6129862524725802,0.46998078729051507,0.08885719302648394,0.5114235500878734,0.6091549295774648,0.5495968340800514,0.030370604594966263
EQUIPMUSE,RFC,0.6256590509666081,0.6936619718309859,0.6618022723334736,0.02229536803662038,0.6068576765762994,0.6841399432430885,0.6471227543945522,0.024328448919898785,0.6273871308127977,0.6945082002130615,0.6597495507370061,0.02320130640375399,0.6256590509666081,0.6936619718309859,0.6618022723334736,0.02229536803662038
TEMPHOME,LDA,0.528169014084507,0.5887521968365553,0.5466044951607713,0.017869646556228067,0.4971347354153607,0.5706940550486448,0.5221880739960828,0.021617908856396497,0.5119067535883339,0.608361255109937,0.5564075015486605,0.035199369960420744,0.528169014084507,0.5887521968365553,0.5466044951607713,0.017869646556228067
TEMPHOME,KNN,0.32922535211267606,0.4077328646748682,0.37107292259709396,0.023312116304588706,0.3053925530375898,0.38220016323141054,0.3436422038429233,0.022589785624591446,0.2934187207969876,0.3895009554583955,0.33255382148930945,0.02667543156090884,0.32922535211267606,0.4077328646748682,0.37107292259709396,0.023312116304588706
TEMPHOME,CART,0.5528169014084507,0.6274165202108963,0.5917980643085226,0.022087449693629444,0.5551830490465757,0.6319311142768174,0.5947041178155675,0.022865319564185697,0.5632798594409681,0.6354874045502794,0.6001989096157881,0.021610864795769548,0.5500878734622144,0.6274165202108963,0.592859352954281,0.022394841460471125
TEMPHOME,SVM,0.4102112676056338,0.4119718309859155,0.41100924527834853,0.0005637672862196686,0.2386497511912926,0.2404025148396614,0.23944387314060073,0.0005611340891718122,0.1682732840706209,0.1697207895258877,0.16892891753783063,0.00046332950163961115,0.4102112676056338,0.4119718309859155,0.41100924527834853,0.0005637672862196686
TEMPHOME,ADB,0.4841549295774648,0.6133567662565905,0.547129260625263,0.03763094033451478,0.4436436567267918,0.5927403885662392,0.519911494691067,0.04353371056665728,0.47580451428028386,0.6074850445557021,0.5283748603262685,0.04191541960604295,0.4841549295774648,0.6133567662565905,0.547129260625263,0.03763094033451478
TEMPHOME,RFC,0.5950704225352113,0.6549295774647887,0.6301378128171489,0.020542071776848102,0.5665710757275252,0.6190083135799399,0.5978514866444136,0.018288304290205726,0.5941059653434121,0.6462176907599444,0.6150341033637944,0.015895858901487012,0.5950704225352113,0.6549295774647887,0.6301378128171489,0.020542071776848102
TEMPGONE,LDA,0.4780316344463972,0.5500878734622144,0.5086171687418005,0.019037476170727465,0.4495455153675799,0.5282410752267546,0.4868341017419507,0.02074485363865146,0.46488689335789507,0.5552844928943348,0.507922374365406,0.025647844088136206,0.4780316344463972,0.5500878734622144,0.5086171687418005,0.019037476170727465
TEMPGONE,KNN,0.2975352112676056,0.35563380281690143,0.3218452189410629,0.013928741570730423,0.26977267555624984,0.3254151721046816,0.2951711901655831,0.0140485263755086,0.26339919022326697,0.31466748731355776,0.2871999075569342,0.015581218990987926,0.2975352112676056,0.35563380281690143,0.3218452189410629,0.013928741570730423
TEMPGONE,CART,0.48857644991212656,0.5518453427065027,0.5198699225228347,0.02027640084707991,0.48523114194268313,0.5662937432916891,0.521027942181822,0.025683349545182182,0.4978785949803991,0.5600272330342442,0.5246468529369268,0.0234182465162452,0.49295774647887325,0.5606326889279437,0.5232149929453699,0.022978272195178933
TEMPGONE,SVM,0.3655536028119508,0.36795774647887325,0.36633858511349293,0.0008389229809199102,0.19571467023136618,0.19794895499120851,0.19644374715180618,0.0007794896112020487,0.1336294365287975,0.13539290319381075,0.1342046627347238,0.0006151535580581374,0.3655536028119508,0.36795774647887325,0.36633858511349293,0.0008389229809199102
TEMPGONE,ADB,0.5184534270650264,0.6063268892794376,0.5624310007673456,0.024742685357451527,0.5050610733757215,0.5896721287982312,0.5461760913332843,0.026325820172124686,0.4985322090886114,0.594112736429097,0.5497299095797998,0.031888000315813805,0.5184534270650264,0.6063268892794376,0.5622549444293176,0.024928777298680285
TEMPGONE,RFC,0.528169014084507,0.5746924428822495,0.5455469194782049,0.013466389528083282,0.47624049791017237,0.5221566147494634,0.49565390952552224,0.013873395572168242,0.4962243126791732,0.5811328628772651,0.5374265906614734,0.0328882875558643,0.528169014084507,0.5746924428822495,0.5455469194782049,0.013466389528083282
TEMPNITE,LDA,0.47183098591549294,0.5211267605633803,0.4959525607069482,0.01732215322635442,0.4182101643909933,0.48277758242280544,0.45083000554531144,0.022422524545070998,0.4576195631833169,0.5385874429947435,0.5015718062819634,0.027715829894197935,0.47183098591549294,0.5211267605633803,0.4959525607069482,0.01732215322635442
TEMPNITE,KNN,0.31338028169014087,0.36731107205623903,0.3318621748063071,0.017580101326013564,0.28366415003683637,0.32952010874992405,0.30589059512933886,0.01477652240982432,0.26565701901183064,0.31711272704242827,0.2955348632834031,0.015571708280521278,0.31338028169014087,0.36731107205623903,0.3318621748063071,0.017580101326013564
TEMPNITE,CART,0.5254833040421792,0.5774647887323944,0.551538404415951,0.016588199853998273,0.5219839433305677,0.5720021095538754,0.5472872871049896,0.013490514096046891,0.5381589211150677,0.5653112430444994,0.5531153718903274,0.009503092568811608,0.5184534270650264,0.5616197183098591,0.5399270402732741,0.012220660519460394
TEMPNITE,SVM,0.3503521126760563,0.352112676056338,0.3513892670610659,0.0005712830908249159,0.1817994013625429,0.18339201877934272,0.18273727456912456,0.0005167236802454247,0.12274660285657606,0.12398333663955563,0.12347474337008295,0.0004012287922413632,0.3503521126760563,0.352112676056338,0.3513892670610659,0.0005712830908249159
